Controller,EvaluationStart_s,FinalYawRate_rad_s,YawRateRMSE_rad_s,YawRatePeakError_rad_s,CrossTrackRMSE_m,CrossTrackPeak_m,HeadingPeak_deg,BetaPeak_deg,AyPeak_m_s2,BaseSteeringRMSE_deg,BaseSteeringPeak_deg,AdditionalSteeringRMSE_deg,AdditionalSteeringPeak_deg,AdditionalSteeringRatePeak_deg_s,AdditionalSteeringSaturationFraction,TotalSteeringRMSE_deg,TotalSteeringPeak_deg,MzRMSE_Nm,MzPeak_Nm,MzSaturationFraction
Baseline,3,0.166516177661293,0.00188224650607323,0.0121558347944651,0.0999251563513751,0.112472137901953,0.209730071796579,0.243627602787766,2.89140678687689,1.71355613187059,1.76212737398541,0,0,0,0,1.71355613187059,1.76212737398541,0,0,0
AFS,3,0.16685801356194,0.00876765759934568,0.0231309203263722,3.15119884334555,3.88955864713509,3.0311206712406,0.254457857191626,3.14257452210626,6.25209679524325,6.95402055716606,4.50767000386891,4.99999999999996,20.9154743360677,0.448507356091987,1.76220259131349,1.95402055728602,0,0,0
TV,3,0.165818684573308,0.00848455263878837,0.0246747131606828,0.231582553261356,0.393801227661384,1.12079858202946,0.274880482845862,3.04315405024474,1.82384978600727,2.53905227970008,0,0,0,0,1.82384978600727,2.53905227970008,652.886414119086,1897.04322678023,0
