Case,YawRMSE_rad_s,PeakYawError_rad_s,PeakMeasuredYaw_rad_s,PeakBeta_deg,PeakAy_g,VxMin_kmh,VxMax_kmh,PeakMzCmd_Nm,PeakFrontPressure_MPa,PeakRearPressure_MPa
Mu090_OFF_DB,0.0671805729513125,0.101731031539966,0.322863056994307,0.568689366730912,0.517622466738033,59.2881949922694,60.0930074102151,0,0,0
Mu090_ON_DB,0.029815838119407,0.0399577141935752,0.406917364939513,1.74552377029968,0.630739486385116,58.5425661570674,60.7254098857467,2392.76518112314,2.04703502842208,3.1842767108788
Mu055_OFF_DB,0.103652378877802,0.144101229226406,0.30354426018802,1.87452968915945,0.451098067986206,59.2802198883527,60.1279203327058,0,0,0
Mu055_ON_DB,0.0550493735396377,0.0884419443431302,0.465710029295096,10.5639791231211,0.459595342250521,58.4374003568257,60.8195874467536,2800,2.39542857142857,3.72622222222222
