time_s,delta_front_equivalent_deg,carsim_yaw_rate_deg_s,carsim_lateral_accel_g
0.0,0.03420761877311812,-0.1545595054095827,-0.0038419319429198683
0.01,0.03420761877311812,-0.1545595054095827,-0.0038419319429198683
0.02,0.03420761877311812,-0.1545595054095827,-0.0038419319429198683
0.03,0.03420761877311812,-0.1545595054095827,-0.0038419319429198683
0.04,0.025128500744583747,-0.1545595054095827,-0.0038419319429198683
0.05,0.006822876407831017,-0.1545595054095827,-0.0038419319429198683
0.06,0.01327848305799019,-0.1545595054095827,-0.0038419319429198683
0.07,-0.003287959578491359,-0.1545595054095827,-0.0038419319429198683
0.08,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.09,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.1,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.11,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.12,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.13,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.14,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.15,-0.007296920785896138,-0.1545595054095827,-0.003628629877257759
0.16,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.17,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.18,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.19,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.2,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.21,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.22,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.23,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.24,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.25,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.26,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.27,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.28,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.29,-0.007296920785896138,-0.1545595054095827,-0.003293084522502744
0.3,-0.007296920785896138,-0.1545595054095827,-0.0037196886538269636
0.31,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.32,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.33,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.34,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.35000000000000003,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.36,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.37,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.38,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.39,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.4,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.41000000000000003,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.42,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.43,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.44,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.45,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.46,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.47000000000000003,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.48,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.49,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.5,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.51,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.52,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.53,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.54,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.55,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.56,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.5700000000000001,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.58,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.59,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.6,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.61,-0.007296920785896138,-0.1545595054095827,-0.0038419319429198683
0.62,-0.003936468009100977,-0.1545595054095827,-0.0038419319429198683
0.63,0.002519138641058223,-0.1545595054095827,-0.0038419319429198683
