Controller,EvaluationStart_s,EvaluationEnd_s,CrossTrackRMSE_m,CrossTrackPeak_m,HeadingRMSE_deg,HeadingPeak_deg,YawRateRMSE_rad_s,YawRatePeak_rad_s,BetaPeak_deg,AyPeak_m_s2,SteeringPeak_deg,MzPeak_Nm
Baseline,3,10,0.354421044868648,0.398028050141292,1.03837333295784,1.59352073387172,99.6604186727244,130.232462688536,0.0467790360716706,2.89209195360365,2.68884311866955,0
Active Front Steering (AFS),3,10,0.107459229073677,0.115475840770572,0.763481552683605,0.783825273627772,99.5133300747479,129.950637519539,0.0413478399521134,2.78141061504287,2.58207890861652,0
Torque Vectoring (TV),3,10,0.0656899913905769,0.0744048693876681,0.589521739338975,0.723903467732569,99.5659414246437,130.054764185121,0.305694229976141,2.80553628944828,2.07441177227323,1291.83569205428
