Controller,EvaluationStart_s,EvaluationEnd_s,FinalCrossTrack_m,FinalHeading_deg,FinalYawRate_rad_s,YawRateRMSE_rad_s,YawRatePeakError_rad_s,CrossTrackRMSE_m,CrossTrackPeak_m,HeadingRMSE_deg,HeadingPeak_deg,BetaRMSE_deg,BetaPeak_deg,AyRMSE_m_s2,AyPeak_m_s2,BaseSteeringRMSE_deg,BaseSteeringPeak_deg,AdditionalSteeringRMSE_deg,AdditionalSteeringPeak_deg,AdditionalSteeringRatePeak_deg_s,AdditionalSteeringSaturationFraction,TotalSteeringRMSE_deg,TotalSteeringPeak_deg,MzRMSE_Nm,MzPeak_Nm,MzSaturationFraction
Baseline,1.54285714285714,8.48571428571429,-0.00627281103168385,-0.0251090519442709,-0.000738571839833672,0.0308166649888444,0.0657256969495855,0.116751363082022,0.196324102209644,0.621854304680567,1.08942162152476,0.450422971899755,0.803552139996663,2.31509840097769,4.05230445945738,1.19944838751494,2.07956646533225,0,0,0,0,1.19944838751494,2.07956646533225,0,0,0
AFS,1.54285714285714,8.48571428571429,-0.0179548007072039,-0.0644326132134067,-0.00134378487952163,0.0101191295356214,0.0248537403273523,0.0913175016898671,0.158513277348539,0.254924771322728,0.486325550823124,0.406607593298287,0.720770576786513,2.09776871997252,3.62660035717377,1.04888783572895,1.81247812818333,0.22146177033663,0.588603235316753,17.0279351200697,0,1.08551486568591,1.87036274473815,0,0,0
TV,1.54285714285714,8.48571428571429,-0.0989979652856038,-0.583419834004855,-0.00489245832113179,0.0566115838061099,0.126772216018813,0.279546729205866,0.408253002927265,1.39530094133211,2.8971923970771,0.273037834424394,0.550210926358257,2.04019790561911,3.4925045228357,1.655140591852,3.07266816702778,0,0,0,0,1.655140591852,3.07266816702778,1910.68638910686,3813.79434605264,0
