Scenario,Controller,YawRateRMSE_rad_s,CrossTrackRMSE_m,HeadingRMSE_deg,BetaRMSE_deg,AyRMSE_m_s2,TotalSteeringRMSE_deg,AdditionalSteeringRMSE_deg,MzRMSE_Nm,MzPeak_Nm
Curved lane,Baseline,0.00102000631809185,0.0999251563513751,0.181775902278746,0.222032008252044,2.77830448224942,1.71355613187059,0,0,0
Curved lane,AFS,0.000890018607046149,0.0952719427994796,0.164607388427081,0.22168842063747,2.78123793039848,1.71631243449028,0.00204011226714929,0,0
Curved lane,TV,0.00081890786889869,0.0965006323097793,0.171787403935075,0.221493635907947,2.77917679846566,1.7150918853029,0,1.59049819277776,7.4225113999872
Double lane change,Baseline,0.0308166649888444,0.116751363082022,0.621854304680567,0.450422971899755,2.31509840097769,1.19944838751494,0,0,0
Double lane change,AFS,0.0101191295356214,0.0913175016898671,0.254924771322728,0.406607593298287,2.09776871997252,1.08551486568591,0.22146177033663,0,0
Double lane change,TV,0.0113102901984861,0.0930116784215817,0.27275339521064,0.386667294275115,2.20139255236634,1.06348494304217,0,616.473403044654,1624.99950052638
