controller,crossTrackRMSE_m,crossTrackPeak_m,headingRMSE_deg,headingPeak_deg,yawRateRMSE_rad_s,yawRatePeak_rad_s,betaPeak_deg,ayPeak_m_s2,steeringPeak_deg,MzPeak_Nm
Baseline,0.257668190837027,0.557408777090622,1.02181209161151,2.68894937848159,133.209798848135,231.510955713871,0.500928838646994,3.35503739309112,2.78997394830066,0
Active Front Steering (AFS),0.0960057148331006,0.215556601377557,0.323112859980298,0.85576896276802,133.226625662296,231.541681149503,0.541109880759122,3.55069617484259,2.96240968693912,0
Torque Vectoring (TV),0.135760422460612,0.301533952580873,0.353364035753383,0.918778032384457,133.215304786126,231.524289107894,0.962770416705584,3.71260351757951,2.05092993137896,2468.63986182999
