Time_s,RoadWheelAngle_deg
3.56,-1.92628310693947
3.57,-1.95107601834582
3.58,-1.97538753093923
3.59,-1.99921164621773
3.6,-2.02254248593737
3.61,-2.04537429356256
3.62,-2.0677014356864
3.63,-2.08951840342068
3.64,-2.11081981375504
3.65,-2.13160041088523
3.66,-2.15185506750986
3.67,-2.17157878609548
3.68,-2.19076670010966
3.69,-2.20941407522173
3.7,-2.22751631047092
3.71,-2.24506893940154
3.72,-2.26206763116505
3.73,-2.27850819158861
3.74,-2.29438656420995
3.75,-2.30969883127822
3.76,-2.32444121472063
3.77,-2.33861007707467
3.78,-2.35220192238556
3.79,-2.36521339706886
3.8,-2.37764129073788
3.81,-2.38948253699582
3.82,-2.40073421419236
3.83,-2.41139354614449
3.84,-2.42145790282158
3.85,-2.43092480099419
3.86,-2.43979190484687
3.87,-2.44805702655441
3.88,-2.45571812682172
3.89,-2.46277331538693
3.9,-2.46922085148784
3.91,-2.47505914429139
3.92,-2.48028675328619
3.93,-2.48490238863795
3.94,-2.4889049115077
3.95,-2.49229333433282
3.96,-2.49506682107068
3.97,-2.49722468740493
3.98,-2.49876640091433
3.99,-2.49969158120415
4,-2.5
4.01,-2.49969158120415
4.02,-2.49876640091433
4.03,-2.49722468740492
4.04,-2.49506682107068
4.05,-2.49229333433282
4.06,-2.4889049115077
4.07,-2.48490238863795
4.08,-2.48028675328619
4.09,-2.47505914429139
4.1,-2.46922085148784
4.11,-2.46277331538693
4.12,-2.45571812682172
4.13,-2.44805702655441
4.14,-2.43979190484687
4.15,-2.43092480099419
4.16,-2.42145790282158
4.17,-2.4113935461445
4.18,-2.40073421419236
4.19,-2.38948253699582
4.2,-2.37764129073788
4.21,-2.36521339706886
4.22,-2.35220192238556
4.23,-2.33861007707467
4.24,-2.32444121472063
4.25,-2.30969883127822
4.26,-2.29438656420995
4.27,-2.27850819158861
4.28,-2.26206763116505
4.29,-2.24506893940154
4.3,-2.22751631047092
4.31,-2.20941407522173
4.32,-2.19076670010966
4.33,-2.17157878609548
4.34,-2.15185506750986
4.35,-2.13160041088523
4.36,-2.11081981375504
4.37,-2.08951840342068
4.38,-2.0677014356864
4.39,-2.04537429356256
4.4,-2.02254248593737
4.41,-1.99921164621773
4.42,-1.97538753093923
4.43,-1.95107601834583
4.44,-1.92628310693947
4.45,-1.90101491400008
4.46,-1.87527767407615
4.47,-1.84907773744653
4.48,-1.82242156855353
4.49,-1.79531574440797
4.5,-1.76776695296637
4.51,-1.73978199148079
4.52,-1.71136776482172
4.53,-1.68253128377443
4.54,-1.65327966330913
4.55,-1.62362012082546
4.56,-1.59355997437172
4.57,-1.56310664083926
4.58,-1.53226763413244
4.59,-1.50105056331471
4.6,-1.46946313073118
4.61,-1.4375131301082
4.62,-1.40520844463033
4.63,-1.37255704499533
4.64,-1.33956698744749
4.65,-1.30624641178987
4.66,-1.27260353937593
4.67,-1.23864667108102
4.68,-1.20438418525429
4.69,-1.16982453565143
4.7,-1.13497624934887
4.71,-1.09984792463979
4.72,-1.06444822891268
4.73,-1.02878589651277
4.74,-0.992869726586951
4.75,-0.956708580912726
4.76,-0.920311381711697
4.77,-0.883687109448141
4.78,-0.846844800613229
4.79,-0.809793545495374
4.8,-0.772542485937369
4.81,-0.735100813080758
4.82,-0.697477765098072
4.83,-0.659682624913433
4.84,-0.621724717912138
4.85,-0.583613409639763
4.86,-0.545358103491356
4.87,-0.506968238391281
4.88,-0.468453286464312
4.89,-0.429822750698526
4.9,-0.391086162600576
4.91,-0.352253079843957
4.92,-0.313333083910762
4.93,-0.274335777727614
4.94,-0.235270783296285
4.95,-0.196147739319612
4.96,-0.156976298823283
4.97,-0.117766126774109
4.98,-0.0785268976953187
4.99,-0.0392682932795521
5,0
5.01,0
5.02,0
5.03,0
5.04,0
5.05,0
5.06,0
5.07,0
5.08,0
5.09,0
5.1,0
5.11,0
5.12,0
5.13,0
5.14,0
5.15,0
5.16,0
5.17,0
5.18,0
5.19,0
5.2,0
5.21,0
5.22,0
5.23,0
5.24,0
5.25,0
5.26,0
5.27,0
5.28,0
5.29,0
5.3,0
5.31,0
5.32,0
5.33,0
5.34,0
5.35,0
5.36,0
5.37,0
5.38,0
5.39,0
5.4,0
5.41,0
5.42,0
5.43,0
5.44,0
5.45,0
5.46,0
5.47,0
5.48,0
5.49,0
5.5,-0
5.51,-0.0392682932795509
5.52,-0.0785268976953225
5.53,-0.117766126774108
5.54,-0.156976298823284
5.55,-0.196147739319612
5.56,-0.235270783296288
5.57,-0.274335777727614
5.58,-0.313333083910761
5.59,-0.352253079843956
5.6,-0.391086162600579
5.61,-0.429822750698525
5.62,-0.468453286464312
5.63,-0.506968238391281
5.64,-0.545358103491355
5.65,-0.583613409639765
5.66,-0.621724717912138
5.67,-0.659682624913432
5.68,-0.697477765098072
5.69,-0.735100813080761
5.7,-0.772542485937369
5.71,-0.809793545495373
5.72,-0.846844800613227
5.73,-0.883687109448144
5.74,-0.920311381711696
5.75,-0.956708580912724
5.76,-0.992869726586951
5.77,-1.02878589651277
5.78,-1.06444822891268
5.79,-1.09984792463979
5.8,-1.13497624934887
5.81,-1.16982453565144
5.82,-1.20438418525429
5.83,-1.23864667108102
5.84,-1.27260353937593
5.85,-1.30624641178987
5.86,-1.33956698744749
5.87,-1.37255704499533
5.88,-1.40520844463033
5.89,-1.4375131301082
5.9,-1.46946313073118
5.91,-1.50105056331471
5.92,-1.53226763413244
5.93,-1.56310664083926
5.94,-1.59355997437173
5.95,-1.62362012082546
5.96,-1.65327966330913
5.97,-1.68253128377443
5.98,-1.71136776482172
5.99,-1.73978199148079
6,-1.76776695296637
6.01,-1.79531574440797
6.02,-1.82242156855353
6.03,-1.84907773744652
6.04,-1.87527767407615
6.05,-1.90101491400008
6.06,-1.92628310693947
6.07,-1.95107601834583
6.08,-1.97538753093923
6.09,-1.99921164621773
6.1,-2.02254248593737
6.11,-2.04537429356256
6.12,-2.0677014356864
6.13,-2.08951840342068
6.14,-2.11081981375504
6.15,-2.13160041088523
6.16,-2.15185506750986
6.17,-2.17157878609548
6.18,-2.19076670010966
6.19,-2.20941407522173
6.2,-2.22751631047092
6.21,-2.24506893940154
6.22,-2.26206763116505
6.23,-2.27850819158861
