Time_s,Steer_rad,Steer_deg,LateralVelocity_mps,YawRate_radps,LateralAcceleration_mps2,Sideslip_rad,YawAngle_rad,X_m,Y_m
0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0.00972222222222222,0
0.002,0,0,0,0,0,0,0,0.0194444444444444,0
0.003,0,0,0,0,0,0,0,0.0291666666666667,0
0.004,0,0,0,0,0,0,0,0.0388888888888889,0
0.005,0,0,0,0,0,0,0,0.0486111111111111,0
0.006,0,0,0,0,0,0,0,0.0583333333333333,0
0.007,0,0,0,0,0,0,0,0.0680555555555555,0
0.008,0,0,0,0,0,0,0,0.0777777777777778,0
0.009,0,0,0,0,0,0,0,0.0875,0
0.01,0,0,0,0,0,0,0,0.0972222222222222,0
0.011,0,0,0,0,0,0,0,0.106944444444444,0
0.012,0,0,0,0,0,0,0,0.116666666666667,0
0.013,0,0,0,0,0,0,0,0.126388888888889,0
0.014,0,0,0,0,0,0,0,0.136111111111111,0
0.015,0,0,0,0,0,0,0,0.145833333333333,0
0.016,0,0,0,0,0,0,0,0.155555555555556,0
0.017,0,0,0,0,0,0,0,0.165277777777778,0
0.018,0,0,0,0,0,0,0,0.175,0
0.019,0,0,0,0,0,0,0,0.184722222222222,0
0.02,0,0,0,0,0,0,0,0.194444444444444,0
0.021,0,0,0,0,0,0,0,0.204166666666667,0
0.022,0,0,0,0,0,0,0,0.213888888888889,0
0.023,0,0,0,0,0,0,0,0.223611111111111,0
0.024,0,0,0,0,0,0,0,0.233333333333333,0
0.025,0,0,0,0,0,0,0,0.243055555555556,0
0.026,0,0,0,0,0,0,0,0.252777777777778,0
0.027,0,0,0,0,0,0,0,0.2625,0
0.028,0,0,0,0,0,0,0,0.272222222222222,0
0.029,0,0,0,0,0,0,0,0.281944444444444,0
0.03,0,0,0,0,0,0,0,0.291666666666667,0
0.031,0,0,0,0,0,0,0,0.301388888888889,0
0.032,0,0,0,0,0,0,0,0.311111111111111,0
0.033,0,0,0,0,0,0,0,0.320833333333333,0
0.034,0,0,0,0,0,0,0,0.330555555555556,0
0.035,0,0,0,0,0,0,0,0.340277777777778,0
0.036,0,0,0,0,0,0,0,0.35,0
0.037,0,0,0,0,0,0,0,0.359722222222222,0
0.038,0,0,0,0,0,0,0,0.369444444444444,0
0.039,0,0,0,0,0,0,0,0.379166666666667,0
0.04,0,0,0,0,0,0,0,0.388888888888889,0
0.041,0,0,0,0,0,0,0,0.398611111111111,0
0.042,0,0,0,0,0,0,0,0.408333333333333,0
0.043,0,0,0,0,0,0,0,0.418055555555556,0
0.044,0,0,0,0,0,0,0,0.427777777777778,0
0.045,0,0,0,0,0,0,0,0.4375,0
0.046,0,0,0,0,0,0,0,0.447222222222222,0
0.047,0,0,0,0,0,0,0,0.456944444444444,0
0.048,0,0,0,0,0,0,0,0.466666666666667,0
0.049,0,0,0,0,0,0,0,0.476388888888889,0
0.05,0,0,0,0,0,0,0,0.486111111111111,0
0.051,0,0,0,0,0,0,0,0.495833333333333,0
0.052,0,0,0,0,0,0,0,0.505555555555556,0
0.053,0,0,0,0,0,0,0,0.515277777777778,0
0.054,0,0,0,0,0,0,0,0.525,0
0.055,0,0,0,0,0,0,0,0.534722222222222,0
0.056,0,0,0,0,0,0,0,0.544444444444444,0
0.057,0,0,0,0,0,0,0,0.554166666666667,0
0.058,0,0,0,0,0,0,0,0.563888888888889,0
0.059,0,0,0,0,0,0,0,0.573611111111111,0
0.06,0,0,0,0,0,0,0,0.583333333333333,0
0.061,0,0,0,0,0,0,0,0.593055555555555,0
0.062,0,0,0,0,0,0,0,0.602777777777778,0
0.063,0,0,0,0,0,0,0,0.6125,0
0.064,0,0,0,0,0,0,0,0.622222222222222,0
0.065,0,0,0,0,0,0,0,0.631944444444444,0
0.066,0,0,0,0,0,0,0,0.641666666666667,0
0.067,0,0,0,0,0,0,0,0.651388888888889,0
0.068,0,0,0,0,0,0,0,0.661111111111111,0
0.069,0,0,0,0,0,0,0,0.670833333333333,0
0.07,0,0,0,0,0,0,0,0.680555555555556,0
0.071,0,0,0,0,0,0,0,0.690277777777778,0
0.072,0,0,0,0,0,0,0,0.7,0
0.073,0,0,0,0,0,0,0,0.709722222222222,0
0.074,0,0,0,0,0,0,0,0.719444444444444,0
0.075,0,0,0,0,0,0,0,0.729166666666667,0
0.076,0,0,0,0,0,0,0,0.738888888888889,0
0.077,0,0,0,0,0,0,0,0.748611111111111,0
0.078,0,0,0,0,0,0,0,0.758333333333333,0
0.079,0,0,0,0,0,0,0,0.768055555555555,0
0.08,0,0,0,0,0,0,0,0.777777777777778,0
0.081,0,0,0,0,0,0,0,0.7875,0
0.082,0,0,0,0,0,0,0,0.797222222222222,0
0.083,0,0,0,0,0,0,0,0.806944444444444,0
0.084,0,0,0,0,0,0,0,0.816666666666667,0
0.085,0,0,0,0,0,0,0,0.826388888888889,0
0.086,0,0,0,0,0,0,0,0.836111111111111,0
0.087,0,0,0,0,0,0,0,0.845833333333333,0
0.088,0,0,0,0,0,0,0,0.855555555555555,0
0.089,0,0,0,0,0,0,0,0.865277777777778,0
0.09,0,0,0,0,0,0,0,0.875,0
0.091,0,0,0,0,0,0,0,0.884722222222222,0
0.092,0,0,0,0,0,0,0,0.894444444444444,0
0.093,0,0,0,0,0,0,0,0.904166666666667,0
0.094,0,0,0,0,0,0,0,0.913888888888889,0
0.095,0,0,0,0,0,0,0,0.923611111111111,0
0.096,0,0,0,0,0,0,0,0.933333333333333,0
0.097,0,0,0,0,0,0,0,0.943055555555556,0
0.098,0,0,0,0,0,0,0,0.952777777777778,0
0.099,0,0,0,0,0,0,0,0.9625,0
0.1,0,0,0,0,0,0,0,0.972222222222222,0
0.101,0,0,0,0,0,0,0,0.981944444444444,0
0.102,0,0,0,0,0,0,0,0.991666666666667,0
0.103,0,0,0,0,0,0,0,1.00138888888889,0
0.104,0,0,0,0,0,0,0,1.01111111111111,0
0.105,0,0,0,0,0,0,0,1.02083333333333,0
0.106,0,0,0,0,0,0,0,1.03055555555556,0
0.107,0,0,0,0,0,0,0,1.04027777777778,0
0.108,0,0,0,0,0,0,0,1.05,0
0.109,0,0,0,0,0,0,0,1.05972222222222,0
0.11,0,0,0,0,0,0,0,1.06944444444444,0
0.111,0,0,0,0,0,0,0,1.07916666666667,0
0.112,0,0,0,0,0,0,0,1.08888888888889,0
0.113,0,0,0,0,0,0,0,1.09861111111111,0
0.114,0,0,0,0,0,0,0,1.10833333333333,0
0.115,0,0,0,0,0,0,0,1.11805555555556,0
0.116,0,0,0,0,0,0,0,1.12777777777778,0
0.117,0,0,0,0,0,0,0,1.1375,0
0.118,0,0,0,0,0,0,0,1.14722222222222,0
0.119,0,0,0,0,0,0,0,1.15694444444444,0
0.12,0,0,0,0,0,0,0,1.16666666666667,0
0.121,0,0,0,0,0,0,0,1.17638888888889,0
0.122,0,0,0,0,0,0,0,1.18611111111111,0
0.123,0,0,0,0,0,0,0,1.19583333333333,0
0.124,0,0,0,0,0,0,0,1.20555555555556,0
0.125,0,0,0,0,0,0,0,1.21527777777778,0
0.126,0,0,0,0,0,0,0,1.225,0
0.127,0,0,0,0,0,0,0,1.23472222222222,0
0.128,0,0,0,0,0,0,0,1.24444444444444,0
0.129,0,0,0,0,0,0,0,1.25416666666667,0
0.13,0,0,0,0,0,0,0,1.26388888888889,0
0.131,0,0,0,0,0,0,0,1.27361111111111,0
0.132,0,0,0,0,0,0,0,1.28333333333333,0
0.133,0,0,0,0,0,0,0,1.29305555555556,0
0.134,0,0,0,0,0,0,0,1.30277777777778,0
0.135,0,0,0,0,0,0,0,1.3125,0
