Controller,EvaluationStart_s,FinalYawRate_rad_s,YawRateRMSE_rad_s,YawRatePeakError_rad_s,CrossTrackRMSE_m,CrossTrackPeak_m,HeadingPeak_deg,BetaPeak_deg,AyPeak_m_s2,SteeringRMSE_deg,SteeringPeak_deg,MzRMSE_Nm,MzPeak_Nm,MzSaturationFraction
Baseline,3,0.166516177661293,0.00188224650607323,0.0121558347944651,0.0999251563513751,0.112472137901953,0.209730071796579,0.243627602787766,2.89140678687689,1.71355613187059,1.76212737398541,0,0,0
TV,3,0.165818684573308,0.00848455263878837,0.0246747131606828,0.231582553261356,0.393801227661384,1.12079858202946,0.274880482845862,3.04315405024474,1.82384978600727,2.53905227970008,652.886414119086,1897.04322678023,0
